"Manu","Model","Yearmanu","NO-SEATS","SPEED","MODEL","TYPE-ACFT"
"RAYTHEON AIRCRAFT COMPANY","B200","2004","011"
"PIPER AIRCRAFT CORP","PA-34-200T","1978","007"
"BEECH AIRCRAFT CORP","95-B55","1979","006"
"PITTS AVIATION ENTERPRISES","S-2A","1979","002"
"PIPER AIRCRAFT CORP","PA-34-220T","1981","007"
"BEECH AIRCRAFT CORP","B200","1982","011"
"BEECH AIRCRAFT CORP","B200","1982","015"
"BEECH AIRCRAFT CORP","B200","1982","011"
"CESSNA AIRCRAFT COMPANY","402B","1976","010"
"BOMBARDIER INC","BD-700-1A10","2005","023"
"BEECH AIRCRAFT CORP","95-C55","1966","006"
"PILATUS AIRCRAFT LTD","PC-12/45","2001","012"
"AERO COMMANDER","500-S","1969","007"
"PIPER AIRCRAFT CORP","PA-31","1972","008"
"PIPER AIRCRAFT CORP","PA-31-325","1981","008"
"PIPER AIRCRAFT CORP","PA-23-250","1960","006"
"PIPER AIRCRAFT CORP","PA-31-350","1977","008"
"PIPER AIRCRAFT CORP","PA-34-200T","1977","007"
"PIPER AIRCRAFT CORP","PA-23-250","1967","006"
"AMATEUR BUILT AIRCRAFT","RV-10","2011","004"
"BEECH AIRCRAFT CORP","B300","1992","019"
"HAWKER BEECHCRAFT CORPORATION","B300","2011","019"
"DASSAULT- AVIATION","FALCON 2000","1996","014"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-500","2011","006"
"DASSAULT AVIATION","MYSTERE-FALCON 50","1995","022"
"HAWKER BEECHCRAFT CORPORATION","B200GT","2011","009"
"CESSNA AIRCRAFT COMPANY","414A","1981","008"
"HAWKER BEECHCRAFT CORPORATION","G58","2013","006"
"BEECH AIRCRAFT CORP","D95A","1966","006"
"CESSNA AIRCRAFT COMPANY","310Q","1974","006"
"BEECH AIRCRAFT CORP","58","1973","006"
"BOMBARDIER INC","BD-700-1A10","1999","023"
"PIPER AIRCRAFT CORP","PA-31","1981","008"
